"Index","N100.Close","N100.Volume","FTSE.Close","FTSE.Volume","N225.Close","N225.Volume","HSI.Close","HSI.Volume","EUR.Close","JPY.Close","AUD.Close","GBP.Close","CNY.Close"
2005-01-03,663.559998,0,NA,NA,NA,NA,14237.419922,145563000,0.74239,102.739998,NA,0.52504,8.266501
2005-01-04,664.429993,0,4847,1613071800,11517.75,4.1e+07,14045.900391,397498200,0.7529,104.339996,NA,0.5309,8.266501
2005-01-05,659.530029,0,4806,1802853600,11437.519531,77500000,13764.360352,530200600,0.75301,103.93,NA,0.53036,8.266501
2005-01-06,664.219971,0,4824.299805,1407245400,11492.259766,87100000,13712.040039,418761600,0.75855,104.889999,NA,0.53291,8.266501
2005-01-07,667.330017,0,4854.100098,1635917100,11433.240234,72300000,13574.860352,571206400,0.76564,104.889999,NA,0.53439,8.266501
2005-01-10,667.450012,0,4840.700195,1187808600,NA,NA,13531.389648,317377800,0.76278,104.169998,NA,0.53279,8.266501
2005-01-11,662.950012,0,4818.700195,1684169600,11539.990234,87800000,13509.25,340797200,0.76237,103.419998,NA,0.53231,8.266501
2005-01-12,658.169983,0,4783.600098,1659665900,11453.389648,8.5e+07,13565.30957,336973200,0.75438,102.440002,NA,0.5289,8.266501
2005-01-13,660.940002,0,4800.299805,1779231400,11358.219727,69400000,13573.280273,396311200,0.75694,102.459999,NA,0.53163,8.266501
2005-01-14,662.940002,0,4820.799805,1913003500,11438.389648,111300000,13494.780273,473364600,0.76342,101.980003,NA,0.53459,8.266501
2005-01-17,666.97998,0,4846.700195,1377856800,11487.099609,100500000,13621.650391,261016000,0.76622,102.260002,NA,0.53842,8.266501
2005-01-18,665.940002,0,4823.899902,1508888200,11423.259766,106500000,13604.219727,289845400,0.76817,102.260002,NA,0.53668,8.266501
2005-01-19,665.530029,0,4818.299805,1705867700,11405.339844,89600000,13678.629883,304025000,0.76905,102.910004,NA,0.5345,8.266501
2005-01-20,661.77002,0,4800.799805,1394567200,11284.769531,86300000,13543.589844,460342600,0.77143,103.370003,NA,0.53459,8.266501
2005-01-21,663.659973,0,4803.299805,1631563100,11238.370117,74600000,13481.019531,476200200,0.76929,102.610001,NA,0.53271,8.266501
2005-01-24,663.039978,0,4812.5,1311479400,11289.490234,75500000,13386.990234,450783600,0.76693,102.580002,NA,0.53223,8.266501
2005-01-25,668.01001,0,4843.200195,1670909600,11276.910156,81600000,13584.05957,319826200,0.77095,104.019997,NA,0.53639,8.266501
2005-01-26,668.98999,0,4847.100098,1818356600,11376.570313,108300000,13623.679688,365578200,0.76464,103.07,NA,0.53132,8.266501
2005-01-27,671,0,4853.399902,1770580400,11341.30957,85900000,13628.910156,374447400,0.76681,102.849998,NA,0.52882,8.266501
2005-01-28,668.900024,0,4832.799805,1299761000,11320.580078,87800000,13650.05957,268381200,0.76658,102.730003,NA,0.52944,8.266501
2005-01-31,675.590027,0,4852.299805,1316421800,11387.589844,88200000,13721.69043,352642200,0.76617,103.599998,NA,0.53073,8.266501
2005-02-01,681.289978,0,4906.200195,1771418700,11384.400391,103900000,13578.259766,407254000,0.76693,103.639999,NA,0.53098,8.266501
2005-02-02,683.109985,0,4916.200195,1738923800,11407.139648,103900000,13555.799805,321787800,0.76734,103.660004,NA,0.53059,8.266501
2005-02-03,680.47998,0,4908.299805,1934906200,11389.349609,102800000,13515.330078,404907400,0.77089,104.459999,NA,0.53124,8.266501
2005-02-04,685.25,0,4941.5,1813268500,11360.400391,8.9e+07,13585.169922,425729600,0.77773,104.040001,NA,0.53382,8.266501
2005-02-07,689.440002,0,4979.799805,1563820500,11499.860352,72700000,13795,383247000,0.78345,104.82,NA,0.53821,8.266501
2005-02-08,689.780029,0,4995.5,1718790900,11490.429688,105500000,13845.629883,218206400,0.78309,105.709999,NA,0.5394,8.266501
2005-02-09,687.940002,0,4990.399902,1669911200,11473.349609,111200000,NA,NA,0.78046,105.589996,NA,0.53787,8.266501
2005-02-10,687.130005,0,5000,1676851700,11553.55957,112200000,NA,NA,0.77664,105.82,NA,0.5353,8.266501
2005-02-11,694.440002,0,5044.200195,1725310600,NA,NA,NA,NA,0.77779,105.75,NA,0.53479,8.266501
2005-02-14,693.830017,0,5041.799805,1161455700,11632.200195,110400000,14017.230469,425991600,0.77083,105.099998,NA,0.52989,8.266501
2005-02-15,697.400024,0,5058.899902,1382880800,11646.490234,75100000,13995.830078,304097400,0.76823,104.550003,NA,0.52762,8.266501
2005-02-16,694.679993,0,5053.200195,1597248900,11601.679688,82800000,14015.490234,302049600,0.76787,105.480003,NA,0.53073,8.266501
2005-02-17,695.25,0,5057.399902,1572721200,11582.719727,73100000,13967.820313,256355000,0.76482,105.480003,NA,0.5277,8.266501
2005-02-18,698.48999,0,5057.200195,1807130200,11660.120117,75500000,14087.870117,323290800,0.76517,105.629997,NA,0.52784,8.266501
2005-02-21,696.679993,0,5060.799805,1124769100,11651.019531,70200000,14111.650391,282806200,0.76546,105.440002,NA,0.5272,8.266501
2005-02-22,692.599976,0,5032.899902,1788686900,11597.709961,6.9e+07,14090.519531,296063200,0.75409,104.230003,NA,0.52323,8.266501
