Date,Price,Open,High,Low,Vol.,Change %
02/09/22,"82,985.23","83,377.90","83,784.76","82,719.76",,-0.37%
01/09/22,"83,294.72","82,371.19","83,324.10","81,612.76",,1.27%
31/08/22,"82,251.05","81,808.78","83,168.63","81,750.02",,0.55%
30/08/22,"81,798.11","82,708.96","83,260.21","81,620.95",,-1.01%
29/08/22,"82,628.75","81,859.77","83,016.14","81,800.11",,0.62%
26/08/22,"82,117.59","83,078.32","83,200.46","81,859.72",,-1.07%
25/08/22,"83,004.51","83,972.59","84,373.28","82,519.91",,-1.02%
24/08/22,"83,859.49","83,950.65","84,368.98","83,536.22",,-0.02%
23/08/22,"83,880.07","83,961.54","84,432.89","83,880.07",,0.02%
22/08/22,"83,864.82","84,348.68","84,366.55","83,782.40",,-0.93%
19/08/22,"84,655.69","85,085.02","85,085.02","84,239.43",,-0.83%
18/08/22,"85,365.08","86,223.18","86,555.50","85,123.41",,-0.85%
17/08/22,"86,100.54","84,611.39","86,210.47","84,422.48",,1.56%
16/08/22,"84,780.95","85,131.41","85,131.41","84,221.07",,-0.12%
15/08/22,"84,886.43","83,643.75","85,095.32","83,235.97",,1.02%
12/08/22,"84,029.98","82,771.60","84,029.98","82,771.60",,1.61%
11/08/22,"82,702.06","84,558.90","84,700.27","82,515.98",,-1.63%
10/08/22,"84,074.63","83,825.06","84,742.82","83,601.68",,0.45%
09/08/22,"83,700.07","84,373.17","84,495.65","83,267.14",,-0.60%
08/08/22,"84,205.53","83,871.19","84,806.50","83,418.71",,0.52%
05/08/22,"83,770.98","83,598.77","84,099.87","83,226.81",,0.19%
04/08/22,"83,610.33","81,827.52","84,047.95","81,827.52",,2.57%
03/08/22,"81,514.25","81,509.35","82,084.43","81,015.08",,-0.07%
02/08/22,"81,567.42","81,297.47","82,041.81","81,080.94",,0.17%
01/08/22,"81,427.93","81,175.13","81,908.35","81,086.93",,0.21%
29/07/22,"81,253.39","81,233.06","81,452.72","80,557.86",,0.08%
28/07/22,"81,185.78","80,901.88","81,334.71","80,735.44",,0.54%
27/07/22,"80,749.13","79,773.96","80,923.74","79,642.70",,1.40%
26/07/22,"79,637.59","80,103.05","80,602.93","79,539.49",,-0.49%
