Date,Price,Open,High,Low,Vol.,Change %
9/2/22,"10,910.10","10,757.69","11,046.17","10,757.64",,1.42%
9/1/22,"10,757.59","10,630.50","10,764.59","10,512.69",,1.20%
8/31/22,"10,630.55","10,854.19","10,941.16","10,630.55",,-2.06%
8/30/22,"10,854.19","10,905.24","11,009.96","10,819.72",,-0.47%
8/29/22,"10,905.20","10,886.56","10,968.14","10,794.04",,0.17%
8/26/22,"10,886.56","10,984.09","11,057.59","10,861.76",,-0.89%
8/25/22,"10,984.07","10,859.84","10,990.35","10,858.94",,1.14%
8/24/22,"10,859.89","10,860.90","10,943.33","10,828.08",,-0.01%
8/23/22,"10,860.76","10,775.34","10,877.57","10,762.65",,0.79%
8/22/22,"10,775.41","10,880.26","10,880.27","10,719.54",,-0.96%
8/19/22,"10,880.26","11,045.96","11,046.01","10,785.18",,-1.50%
8/18/22,"11,046.05","11,091.79","11,125.00","10,982.40",,-0.41%
8/17/22,"11,091.79","11,126.57","11,150.42","11,063.42",,-0.31%
8/16/22,"11,126.60","11,071.43","11,140.51","10,971.89",,0.51%
8/15/22,"11,070.69","11,066.94","11,109.12","10,928.52",,0.03%
8/12/22,"11,067.54","10,761.84","11,067.54","10,761.84",,2.85%
8/11/22,"10,761.20","10,712.12","10,868.19","10,712.11",,0.46%
8/10/22,"10,712.05","10,533.13","10,745.03","10,532.70",,1.70%
8/9/22,"10,533.13","10,447.12","10,625.88","10,416.67",,0.82%
8/8/22,"10,447.12","10,264.62","10,477.17","10,263.88",,1.78%
8/5/22,"10,264.38","10,118.29","10,280.49","10,001.76",,1.44%
8/4/22,"10,118.25","9,823.20","10,150.31","9,823.20",,3.00%
8/3/22,"9,823.28","9,672.74","9,835.01","9,653.43",,1.56%
8/2/22,"9,672.66","9,581.99","9,728.03","9,548.99",,0.95%
8/1/22,"9,582.04","9,664.80","9,686.57","9,519.48",,-0.86%
7/29/22,"9,664.80","9,696.89","9,799.13","9,647.63",,-0.33%
7/28/22,"9,696.76","9,560.08","9,710.51","9,473.45",,1.43%
7/27/22,"9,560.08","9,474.75","9,577.82","9,459.23",,0.90%
7/26/22,"9,474.77","9,525.68","9,571.13","9,433.52",,-0.53%
7/25/22,"9,525.63","9,435.08","9,547.69","9,433.23",,0.96%
7/22/22,"9,434.98","9,546.91","9,591.37","9,359.62",,-1.17%
7/21/22,"9,546.91","9,401.54","9,560.02","9,332.32",,1.55%
7/20/22,"9,401.54","9,412.54","9,435.47","9,330.43",,-0.12%
7/19/22,"9,412.57","9,184.48","9,417.75","9,183.69",,2.50%
7/18/22,"9,182.93","9,091.94","9,275.82","9,091.70",,1.00%
7/15/22,"9,091.89","8,997.08","9,150.57","8,958.99",,1.05%
7/14/22,"8,997.04","9,087.67","9,087.91","8,849.77",,-1.00%
7/13/22,"9,087.67","9,204.80","9,240.04","9,076.52",,-1.27%
7/12/22,"9,204.75","9,217.70","9,285.47","9,086.82",,-0.14%
7/11/22,"9,217.74","9,461.22","9,461.75","9,159.55",,-2.57%
7/8/22,"9,461.34","9,441.38","9,544.40","9,420.13",,0.21%
7/7/22,"9,441.25","9,308.43","9,505.04","9,308.43",,1.43%
7/6/22,"9,308.50","9,352.82","9,421.31","9,222.72",,-0.48%
7/5/22,"9,353.21","9,302.37","9,366.30","9,169.41",,0.55%
7/4/22,"9,302.03","9,399.09","9,399.13","9,276.21",,-1.04%
7/1/22,"9,399.52","9,329.23","9,447.00","9,186.04",,0.76%
6/30/22,"9,328.54","9,420.66","9,420.66","9,223.32",,-0.98%
6/29/22,"9,420.72","9,534.79","9,599.65","9,390.26",,-1.19%
6/28/22,"9,534.39","9,659.95","9,765.57","9,458.50",,-1.30%
6/27/22,"9,659.95","9,560.92","9,672.21","9,560.36",,1.04%
6/24/22,"9,560.92","9,601.31","9,689.52","9,534.84",,-0.42%
6/23/22,"9,601.43","9,754.78","9,779.81","9,567.56",,-1.57%
6/22/22,"9,754.66","9,742.45","9,806.21","9,645.01",,0.12%
6/21/22,"9,742.50","9,823.73","9,894.36","9,683.35",,-0.83%
6/20/22,"9,823.73","9,630.37","9,884.42","9,630.18",,2.01%
6/17/22,"9,630.27","9,771.36","9,771.36","9,491.51",,-1.44%
6/15/22,"9,771.38","9,656.94","9,871.02","9,656.25",,1.20%
6/14/22,"9,655.07","9,710.58","9,769.32","9,613.69",,-0.57%
6/13/22,"9,710.58","9,873.96","9,873.96","9,608.86",,-1.66%
6/10/22,"9,874.37","10,084.20","10,084.24","9,870.63",,-2.08%
6/9/22,"10,084.20","10,104.12","10,204.95","10,037.33",,-0.20%
6/8/22,"10,104.12","10,241.74","10,278.12","10,059.34",,-1.34%
6/7/22,"10,241.83","10,361.49","10,361.75","10,215.51",,-1.15%
6/6/22,"10,361.49","10,469.02","10,553.19","10,343.26",,-1.03%
6/3/22,"10,469.02","10,623.15","10,623.15","10,441.36",,-1.46%
6/2/22,"10,623.72","10,555.64","10,658.67","10,500.55",,0.64%
6/1/22,"10,555.64","10,702.03","10,715.59","10,552.51",,-1.37%
5/31/22,"10,702.03","10,623.70","10,764.07","10,623.70",,0.74%
5/30/22,"10,623.58","10,694.76","10,781.83","10,586.48",,-0.67%
5/27/22,"10,694.77","10,613.39","10,748.04","10,583.12",,0.77%
5/26/22,"10,613.27","10,480.34","10,656.94","10,456.08",,1.27%
5/25/22,"10,480.66","10,596.70","10,596.82","10,402.53",,-1.09%
5/24/22,"10,596.68","10,531.45","10,599.85","10,399.12",,0.62%
5/23/22,"10,531.45","10,378.10","10,576.03","10,378.10",,1.48%
5/20/22,"10,378.08","10,219.96","10,425.28","10,219.83",,1.55%
5/19/22,"10,219.98","10,173.23","10,254.07","10,139.66",,0.46%
5/18/22,"10,173.24","10,386.43","10,405.22","10,149.94",,-2.06%
5/17/22,"10,386.94","10,225.77","10,443.11","10,225.77",,1.58%
5/16/22,"10,225.56","10,106.57","10,279.77","10,051.70",,1.18%
5/13/22,"10,106.29","10,065.18","10,165.78","10,036.48",,0.41%
5/12/22,"10,065.16","9,827.79","10,084.85","9,796.85",,2.41%
5/11/22,"9,827.82","9,751.54","9,883.78","9,730.29",,0.78%
5/10/22,"9,751.77","9,762.44","9,910.03","9,714.48",,-0.11%
5/9/22,"9,762.44","9,755.82","9,856.95","9,618.00",,-0.04%
5/6/22,"9,766.38","9,744.86","9,950.44","9,662.51",,0.22%
5/5/22,"9,745.10","10,078.65","10,078.65","9,649.10",,-3.31%
5/4/22,"10,078.75","9,948.54","10,078.75","9,759.41",,1.30%
5/3/22,"9,948.94","9,946.17","10,011.67","9,880.62",,0.03%
5/2/22,"9,946.17","10,072.73","10,125.91","9,810.44",,-1.26%
4/29/22,"10,072.71","10,293.96","10,476.62","10,072.71",,-2.15%
4/28/22,"10,293.92","10,306.56","10,351.91","10,188.63",,-0.12%
4/27/22,"10,306.49","10,335.41","10,466.88","10,260.77",,-0.28%
4/26/22,"10,335.37","10,715.81","10,715.81","10,289.28",,-3.55%
4/25/22,"10,716.07","10,762.80","10,767.06","10,577.29",,-0.43%
4/22/22,"10,762.85","10,991.17","10,991.17","10,701.47",,-2.08%
4/20/22,"10,991.17","10,960.35","11,033.15","10,919.34",,0.28%
4/19/22,"10,960.35","11,052.59","11,054.30","10,853.50",,-0.83%
4/18/22,"11,052.59","10,917.69","11,079.73","10,904.16",,1.24%
4/14/22,"10,917.69","10,907.49","10,945.19","10,860.81",,0.09%
4/13/22,"10,907.53","10,840.23","10,946.42","10,814.42",,0.62%
4/12/22,"10,840.21","11,027.54","11,146.27","10,830.03",,-1.70%
4/11/22,"11,027.54","11,169.54","11,170.14","11,021.20",,-1.27%
4/8/22,"11,169.77","11,178.56","11,225.88","11,074.99",,-0.09%
4/7/22,"11,180.11","11,127.90","11,212.06","11,027.43",,0.47%
4/6/22,"11,127.96","11,181.05","11,190.16","10,996.16",,-0.47%
4/5/22,"11,181.05","11,476.79","11,476.79","11,170.67",,-2.58%
4/4/22,"11,476.79","11,530.66","11,532.03","11,371.24",,-0.48%
4/1/22,"11,531.59","11,441.23","11,606.24","11,441.23",,0.79%
3/31/22,"11,441.15","11,499.43","11,570.65","11,404.92",,-0.51%
