"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 02, 2022","4,870.47","4,847.31","4,969.25","4,844.27","","0.49%"
"Sep 01, 2022","4,846.61","4,862.27","4,865.96","4,759.81","","-0.33%"
"Aug 31, 2022","4,862.42","4,920.74","4,955.67","4,862.42","","-1.18%"
"Aug 30, 2022","4,920.68","5,022.08","5,054.57","4,914.40","","-2.01%"
"Aug 29, 2022","5,021.54","5,064.51","5,094.35","5,019.70","","-0.85%"
"Aug 26, 2022","5,064.71","5,208.59","5,258.80","5,064.71","","-2.76%"
"Aug 25, 2022","5,208.43","5,187.77","5,259.49","5,181.11","","0.40%"
"Aug 24, 2022","5,187.75","5,284.21","5,286.47","5,156.10","","-1.82%"
"Aug 23, 2022","5,284.18","5,058.31","5,293.72","5,058.31","","4.47%"
"Aug 22, 2022","5,058.19","5,162.39","5,162.74","5,047.24","","-2.02%"
"Aug 19, 2022","5,162.33","5,244.24","5,244.47","5,144.52","","-1.58%"
"Aug 18, 2022","5,245.17","5,301.06","5,333.85","5,237.74","","-1.04%"
"Aug 17, 2022","5,300.52","5,261.50","5,325.02","5,200.33","","0.74%"
"Aug 16, 2022","5,261.50","5,223.22","5,314.58","5,208.89","","0.73%"
"Aug 15, 2022","5,223.16","5,337.87","5,337.87","5,195.38","","-2.16%"
"Aug 12, 2022","5,338.38","5,240.55","5,343.47","5,240.55","","1.87%"
"Aug 11, 2022","5,240.47","5,180.03","5,311.66","5,180.03","","1.17%"
"Aug 10, 2022","5,179.87","5,149.33","5,220.26","5,125.45","","0.60%"
"Aug 09, 2022","5,149.13","5,082.54","5,155.49","5,082.54","","1.31%"
"Aug 08, 2022","5,082.35","5,034.59","5,110.12","5,034.50","","0.96%"
"Aug 05, 2022","5,033.96","4,966.09","5,093.98","4,966.09","","1.37%"
"Aug 04, 2022","4,965.72","4,901.36","4,994.03","4,870.50","","1.32%"
"Aug 03, 2022","4,900.80","5,004.09","5,022.84","4,878.13","","-2.06%"
"Aug 02, 2022","5,004.09","4,915.47","5,025.48","4,887.09","","1.80%"
"Aug 01, 2022","4,915.47","5,041.46","5,046.07","4,897.69","","-2.50%"
"Jul 29, 2022","5,041.50","4,993.96","5,072.42","4,963.20","","0.95%"
"Jul 28, 2022","4,994.17","4,974.34","5,068.60","4,959.88","","0.40%"
"Jul 27, 2022","4,974.38","4,884.39","4,974.45","4,883.74","","1.86%"
"Jul 26, 2022","4,883.62","4,923.05","4,950.41","4,853.67","","-0.80%"
"Jul 25, 2022","4,923.05","4,916.81","4,994.46","4,914.43","","0.13%"
"Jul 22, 2022","4,916.81","4,884.13","5,020.35","4,882.91","","0.67%"
"Jul 21, 2022","4,883.90","4,862.04","4,883.90","4,763.79","","0.45%"
"Jul 20, 2022","4,862.14","4,890.12","4,890.12","4,786.14","","-0.57%"
"Jul 19, 2022","4,890.22","4,777.78","4,898.75","4,762.27","","2.36%"
"Jul 18, 2022","4,777.56","4,782.13","4,871.95","4,760.00","","-0.09%"
"Jul 15, 2022","4,781.86","4,726.60","4,785.35","4,675.71","","1.17%"
"Jul 14, 2022","4,726.60","4,928.43","4,928.43","4,718.68","","-4.11%"
"Jul 13, 2022","4,929.25","4,978.26","5,007.51","4,908.64","","-0.99%"
"Jul 12, 2022","4,978.55","4,969.79","5,000.60","4,894.47","","0.17%"
"Jul 11, 2022","4,969.86","5,074.05","5,074.05","4,958.74","","-2.07%"
"Jul 08, 2022","5,074.68","5,166.23","5,221.36","5,074.68","","-1.77%"
"Jul 07, 2022","5,166.26","5,047.09","5,235.06","5,047.09","","2.37%"
"Jul 06, 2022","5,046.89","5,009.06","5,066.66","4,951.96","","0.75%"
"Jul 05, 2022","5,009.11","5,092.29","5,092.29","4,950.39","","-1.64%"
"Jul 04, 2022","5,092.68","5,129.30","5,129.30","5,046.53","","-0.71%"
"Jul 01, 2022","5,129.20","5,153.59","5,161.27","5,021.98","","-0.47%"
"Jun 30, 2022","5,153.48","5,262.24","5,262.24","5,139.21","","-2.07%"
"Jun 29, 2022","5,262.26","5,335.51","5,380.84","5,255.65","","-1.37%"
"Jun 28, 2022","5,335.46","5,297.14","5,407.92","5,296.86","","0.73%"
"Jun 27, 2022","5,296.59","5,157.67","5,357.17","5,157.67","","2.70%"
"Jun 24, 2022","5,157.30","4,991.17","5,166.50","4,991.17","","3.34%"
"Jun 23, 2022","4,990.51","5,124.65","5,213.82","4,953.17","","-2.61%"
"Jun 22, 2022","5,124.49","5,240.44","5,240.44","5,037.48","","-2.21%"
"Jun 21, 2022","5,240.47","5,215.00","5,306.40","5,212.87","","0.49%"
"Jun 20, 2022","5,214.85","5,268.90","5,268.91","5,108.83","","-1.00%"
"Jun 17, 2022","5,267.44","5,529.12","5,529.12","5,206.22","","-4.74%"
"Jun 15, 2022","5,529.47","5,565.78","5,664.03","5,523.63","","-0.64%"
"Jun 14, 2022","5,565.09","5,673.80","5,693.68","5,516.25","","-1.92%"
"Jun 13, 2022","5,674.13","5,843.25","5,843.25","5,565.82","","-2.92%"
"Jun 10, 2022","5,845.05","5,868.13","5,874.80","5,723.79","","-0.40%"
"Jun 09, 2022","5,868.28","6,037.94","6,037.94","5,860.85","","-2.81%"
"Jun 08, 2022","6,038.00","6,239.22","6,239.22","6,009.27","","-3.23%"
"Jun 07, 2022","6,239.37","6,207.42","6,278.98","6,184.98","","0.51%"
"Jun 06, 2022","6,207.48","6,201.28","6,266.17","6,190.83","","0.11%"
"Jun 03, 2022","6,200.93","6,292.26","6,292.26","6,186.91","","-1.45%"
"Jun 02, 2022","6,292.26","6,150.72","6,315.51","6,150.72","","2.30%"
"Jun 01, 2022","6,150.72","6,077.77","6,197.30","6,072.25","","1.20%"
"May 31, 2022","6,077.77","6,068.86","6,130.50","6,025.94","","0.16%"
"May 30, 2022","6,068.31","6,064.86","6,143.57","6,053.38","","0.06%"
"May 27, 2022","6,064.73","6,007.88","6,094.70","6,007.87","","0.95%"
"May 26, 2022","6,007.75","5,942.55","6,017.44","5,918.13","","1.10%"
"May 25, 2022","5,942.65","5,973.65","5,977.50","5,919.33","","-0.52%"
"May 24, 2022","5,973.65","5,938.53","5,977.39","5,837.21","","0.58%"
"May 23, 2022","5,939.32","5,821.63","5,986.68","5,821.54","","2.03%"
"May 20, 2022","5,821.18","5,706.66","5,870.97","5,706.66","","2.01%"
"May 19, 2022","5,706.50","5,598.06","5,744.49","5,585.61","","1.94%"
"May 18, 2022","5,598.11","5,806.01","5,806.01","5,581.52","","-3.58%"
"May 17, 2022","5,805.91","5,734.13","5,876.43","5,733.95","","1.26%"
"May 16, 2022","5,733.64","5,659.44","5,786.41","5,659.17","","1.31%"
"May 13, 2022","5,659.44","5,496.12","5,711.78","5,496.12","","2.97%"
"May 12, 2022","5,496.03","5,547.85","5,547.85","5,436.83","","-0.95%"
"May 11, 2022","5,548.77","5,424.97","5,622.19","5,422.30","","2.29%"
"May 10, 2022","5,424.40","5,594.56","5,608.96","5,370.43","","-3.04%"
"May 09, 2022","5,594.34","5,756.70","5,756.70","5,588.52","","-2.83%"
"May 06, 2022","5,757.31","5,820.02","5,856.39","5,717.43","","-1.08%"
"May 05, 2022","5,819.93","5,844.95","5,892.72","5,708.39","","-0.44%"
"May 04, 2022","5,845.74","5,786.00","5,851.94","5,711.27","","1.02%"
"May 03, 2022","5,786.58","5,738.90","5,816.29","5,735.58","","0.83%"
"May 02, 2022","5,738.87","5,732.98","5,741.79","5,601.13","","0.10%"
"Apr 29, 2022","5,732.87","5,854.34","5,970.91","5,732.36","","-2.06%"
"Apr 28, 2022","5,853.59","5,755.89","5,894.60","5,713.51","","1.70%"
"Apr 27, 2022","5,755.73","5,585.54","5,820.48","5,585.29","","3.05%"
"Apr 26, 2022","5,585.48","5,738.86","5,749.99","5,585.05","","-2.69%"
"Apr 25, 2022","5,739.81","5,775.53","5,775.53","5,620.66","","-0.64%"
"Apr 22, 2022","5,776.95","5,978.09","5,978.17","5,753.24","","-3.37%"
"Apr 20, 2022","5,978.35","6,133.36","6,133.36","5,953.69","","-2.53%"
"Apr 19, 2022","6,133.36","6,128.59","6,138.35","6,040.32","","0.08%"
"Apr 18, 2022","6,128.59","6,208.68","6,210.06","6,111.66","","-1.31%"
"Apr 14, 2022","6,210.10","6,265.82","6,288.21","6,170.58","","-0.90%"
"Apr 13, 2022","6,266.24","6,235.66","6,311.57","6,227.22","","0.50%"
"Apr 12, 2022","6,235.33","6,268.23","6,343.97","6,225.17","","-0.52%"
"Apr 11, 2022","6,268.08","6,307.80","6,314.58","6,244.64","","-0.63%"
"Apr 08, 2022","6,308.01","6,355.93","6,356.42","6,292.05","","-0.75%"
"Apr 07, 2022","6,355.93","6,384.68","6,404.79","6,317.08","","-0.46%"
"Apr 06, 2022","6,385.10","6,360.30","6,403.37","6,306.08","","0.39%"
"Apr 05, 2022","6,360.30","6,464.82","6,489.43","6,345.47","","-1.61%"
