"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 02, 2022","765.58","737.28","771.82","737.19","","3.87%"
"Sep 01, 2022","737.07","716.66","737.07","715.86","","2.85%"
"Aug 31, 2022","716.67","720.83","728.49","712.32","","-0.57%"
"Aug 30, 2022","720.81","730.40","739.36","718.00","","-1.31%"
"Aug 29, 2022","730.40","726.22","739.40","718.46","","0.57%"
"Aug 26, 2022","726.23","741.25","749.05","725.70","","-2.02%"
"Aug 25, 2022","741.24","740.29","748.39","739.05","","0.13%"
"Aug 24, 2022","740.27","729.50","742.00","728.97","","1.48%"
"Aug 23, 2022","729.50","728.55","736.00","723.77","","0.13%"
"Aug 22, 2022","728.55","733.62","734.17","716.00","","-0.69%"
"Aug 19, 2022","733.59","753.48","753.48","728.03","","-2.64%"
"Aug 18, 2022","753.46","760.55","765.21","747.43","","-0.93%"
"Aug 17, 2022","760.55","760.01","766.61","751.53","","0.07%"
"Aug 16, 2022","760.02","768.28","768.80","750.85","","-1.08%"
"Aug 15, 2022","768.28","745.50","771.24","737.48","","3.05%"
"Aug 12, 2022","745.52","734.19","749.58","734.19","","1.54%"
"Aug 11, 2022","734.19","760.33","768.25","731.58","","-3.44%"
"Aug 10, 2022","760.33","729.33","764.77","729.31","","4.25%"
"Aug 09, 2022","729.30","741.81","748.77","724.27","","-1.69%"
"Aug 08, 2022","741.81","738.53","749.69","737.73","","0.45%"
"Aug 05, 2022","738.50","736.67","741.98","717.88","","0.25%"
"Aug 04, 2022","736.68","689.50","740.79","689.50","","6.84%"
"Aug 03, 2022","689.52","667.33","691.37","664.30","","3.32%"
"Aug 02, 2022","667.36","673.52","675.08","666.21","","-0.93%"
"Aug 01, 2022","673.61","669.75","678.49","663.96","","0.58%"
"Jul 29, 2022","669.75","679.86","682.68","666.25","","-1.49%"
"Jul 28, 2022","679.87","663.97","682.08","663.74","","2.40%"
"Jul 27, 2022","663.92","639.55","663.94","639.55","","3.85%"
"Jul 26, 2022","639.29","647.72","648.31","634.30","","-1.30%"
"Jul 25, 2022","647.72","653.17","658.30","647.23","","-0.84%"
"Jul 22, 2022","653.21","652.51","659.65","647.33","","0.10%"
"Jul 21, 2022","652.53","649.58","654.95","647.21","","0.45%"
"Jul 20, 2022","649.60","645.21","651.77","641.53","","0.68%"
"Jul 19, 2022","645.23","642.32","651.97","642.06","","0.47%"
"Jul 18, 2022","642.22","647.41","657.68","640.26","","-0.80%"
"Jul 15, 2022","647.38","643.80","650.70","635.52","","0.57%"
"Jul 14, 2022","643.73","660.14","660.14","643.73","","-2.49%"
"Jul 13, 2022","660.14","661.50","669.43","656.88","","-0.23%"
