"DateTime";"meta para a inflação";"IPCA ocorrido";"Focus mais recente";"limite mínimo";"limite máximo"
"2012-09-01";4,5;5,28;;2,5;6,5
"2012-10-01";4,5;5,45;;2,5;6,5
"2012-11-01";4,5;5,53;;2,5;6,5
"2012-12-01";4,5;5,84;;2,5;6,5
"2013-01-01";4,5;6,15;;2,5;6,5
"2013-02-01";4,5;6,31;;2,5;6,5
"2013-03-01";4,5;6,59;;2,5;6,5
"2013-04-01";4,5;6,49;;2,5;6,5
"2013-05-01";4,5;6,5;;2,5;6,5
"2013-06-01";4,5;6,7;;2,5;6,5
"2013-07-01";4,5;6,27;;2,5;6,5
"2013-08-01";4,5;6,09;;2,5;6,5
"2013-09-01";4,5;5,86;;2,5;6,5
"2013-10-01";4,5;5,84;;2,5;6,5
"2013-11-01";4,5;5,77;;2,5;6,5
"2013-12-01";4,5;5,91;;2,5;6,5
"2014-01-01";4,5;5,59;;2,5;6,5
"2014-02-01";4,5;5,68;;2,5;6,5
"2014-03-01";4,5;6,15;;2,5;6,5
"2014-04-01";4,5;6,28;;2,5;6,5
"2014-05-01";4,5;6,37;;2,5;6,5
"2014-06-01";4,5;6,52;;2,5;6,5
"2014-07-01";4,5;6,5;;2,5;6,5
"2014-08-01";4,5;6,51;;2,5;6,5
"2014-09-01";4,5;6,75;;2,5;6,5
"2014-10-01";4,5;6,59;;2,5;6,5
"2014-11-01";4,5;6,56;;2,5;6,5
"2014-12-01";4,5;6,41;;2,5;6,5
"2015-01-01";4,5;7,14;;2,5;6,5
"2015-02-01";4,5;7,7;;2,5;6,5
"2015-03-01";4,5;8,13;;2,5;6,5
"2015-04-01";4,5;8,17;;2,5;6,5
"2015-05-01";4,5;8,47;;2,5;6,5
"2015-06-01";4,5;8,89;;2,5;6,5
"2015-07-01";4,5;9,56;;2,5;6,5
"2015-08-01";4,5;9,53;;2,5;6,5
"2015-09-01";4,5;9,49;;2,5;6,5
"2015-10-01";4,5;9,93;;2,5;6,5
"2015-11-01";4,5;10,48;;2,5;6,5
"2015-12-01";4,5;10,67;;2,5;6,5
"2016-01-01";4,5;10,71;;2,5;6,5
"2016-02-01";4,5;10,36;;2,5;6,5
"2016-03-01";4,5;9,39;;2,5;6,5
"2016-04-01";4,5;9,28;;2,5;6,5
"2016-05-01";4,5;9,32;;2,5;6,5
"2016-06-01";4,5;8,84;;2,5;6,5
"2016-07-01";4,5;8,74;;2,5;6,5
"2016-08-01";4,5;8,97;;2,5;6,5
