Date;11 - Interest rate - Selic - % p.d.
3/1/2005;0.064826
4/1/2005;0.064826
5/1/2005;0.064826
6/1/2005;0.064826
7/1/2005;0.064826
10/1/2005;0.064826
11/1/2005;0.064826
12/1/2005;0.064826
13/01/2005;0.064826
14/01/2005;0.064826
17/01/2005;0.064826
18/01/2005;0.064826
19/01/2005;0.064860
20/01/2005;0.066509
21/01/2005;0.066509
24/01/2005;0.066509
25/01/2005;0.066509
26/01/2005;0.066509
27/01/2005;0.066509
28/01/2005;0.066509
31/01/2005;0.066509
1/2/2005;0.066509
2/2/2005;0.066542
3/2/2005;0.066542
4/2/2005;0.066542
9/2/2005;0.066542
10/2/2005;0.066542
11/2/2005;0.066576
14/02/2005;0.066576
15/02/2005;0.066576
16/02/2005;0.066576
17/02/2005;0.068218
18/02/2005;0.068218
21/02/2005;0.068218
22/02/2005;0.068218
23/02/2005;0.068218
24/02/2005;0.068218
25/02/2005;0.068218
28/02/2005;0.068184
1/3/2005;0.068184
2/3/2005;0.068184
3/3/2005;0.068184
4/3/2005;0.068184
7/3/2005;0.068218
8/3/2005;0.068218
9/3/2005;0.068218
10/3/2005;0.068218
11/3/2005;0.068218
14/03/2005;0.068218
15/03/2005;0.068218
16/03/2005;0.068218
17/03/2005;0.069853
18/03/2005;0.069853
21/03/2005;0.069853
22/03/2005;0.069853
23/03/2005;0.069853
24/03/2005;0.069853
28/03/2005;0.069886
29/03/2005;0.069886
30/03/2005;0.069886
31/03/2005;0.069886
1/4/2005;0.069853
4/4/2005;0.069853
5/4/2005;0.069853
6/4/2005;0.069853
7/4/2005;0.069853
8/4/2005;0.069853
11/4/2005;0.069853
12/4/2005;0.069853
13/04/2005;0.069853
14/04/2005;0.069853
15/04/2005;0.069853
18/04/2005;0.069853
19/04/2005;0.069853
20/04/2005;0.069853
22/04/2005;0.070685
25/04/2005;0.070685
26/04/2005;0.070685
27/04/2005;0.070718
28/04/2005;0.070718
29/04/2005;0.070718
2/5/2005;0.070718
3/5/2005;0.070751
4/5/2005;0.070751
5/5/2005;0.070751
6/5/2005;0.070751
9/5/2005;0.070784
10/5/2005;0.070784
11/5/2005;0.070784
12/5/2005;0.070784
13/05/2005;0.070784
16/05/2005;0.070784
17/05/2005;0.070784
18/05/2005;0.070751
19/05/2005;0.071581
20/05/2005;0.071548
23/05/2005;0.071548
24/05/2005;0.071548
25/05/2005;0.071548
27/05/2005;0.071548
30/05/2005;0.071548
31/05/2005;0.071581
1/6/2005;0.071581
2/6/2005;0.071548
3/6/2005;0.071548
6/6/2005;0.071548
7/6/2005;0.071548
8/6/2005;0.071548
9/6/2005;0.071548
10/6/2005;0.071548
