,DT_COMPTC,CAPTC_DIA,RESG_DIA,IBOV,Dol,NDX,SPX,Fluxo
0,2005-01-03,21123827.969999995,502344.38,25722.0,2.6759,1603.51,1202.08,20621483.589999996
1,2005-01-04,9246864.13,5469671.5,24848.0,2.719,1571.83,1188.05,3777192.630000001
2,2005-01-05,8483588.540000001,5791849.580000001,24691.8,2.714,1563.76,1183.74,2691738.96
3,2005-01-06,21615611.29,7087659.43,24366.9,2.7218,1557.52,1187.89,14527951.86
4,2005-01-07,5980843.24,8308661.720000001,24747.2,2.712,1564.81,1186.19,-2327818.4800000004
5,2005-01-10,16542226.83,14013197.250000002,24291.9,2.7035,1564.92,1190.24,2529029.579999998
6,2005-01-11,4707198.85,2898135.2199999997,24369.9,2.7213,1553.4,1182.99,1809063.63
7,2005-01-12,8857996.72,3733664.0100000002,24509.6,2.7065,1565.78,1187.7,5124332.710000001
8,2005-01-13,5952175.56,4199828.550000001,24805.7,2.704,1545.18,1177.45,1752347.0099999988
9,2005-01-14,6857360.53,3797725.93,24924.1,2.7015,1561.11,1184.52,3059634.6
10,2005-01-17,4255906.550000001,3088267.89,24515.2,2.701,,,1167638.6600000006
11,2005-01-18,6477910.590000002,4974285.609999999,24089.2,2.7195,1573.49,1195.98,1503624.9800000023
12,2005-01-19,19979745.759999998,4115745.66,24271.2,2.71,1545.65,1184.63,15864000.099999998
13,2005-01-20,6130207.390000001,1716670.5599999998,23610.0,2.7165,1514.56,1175.41,4413536.830000001
14,2005-01-21,4406640.69,1890754.0799999998,23818.4,2.6869,1503.64,1167.87,2515886.6100000003
15,2005-01-24,2349286.46,2373514.36,24197.7,2.6792,1480.66,1163.75,-24227.899999999907
16,2005-01-25,12246108.05,2247427.41,,2.6815,1490.57,1168.41,9998680.64
17,2005-01-26,3062654.4799999995,1386809.4300000002,24530.2,2.6645,1509.01,1174.07,1675845.0499999993
18,2005-01-27,5151577.2299999995,1806258.2200000002,24029.7,2.67,1507.55,1174.55,3345319.0099999993
19,2005-01-28,10905485.59,9388263.83,23968.1,2.645,1499.46,1171.36,1517221.7599999998
20,2005-01-31,4065362.63,33163776.3,24350.6,2.6088,1519.63,1181.27,-29098413.67
21,2005-02-01,21960595.34,3490380.45,24149.5,2.61,1523.66,1189.41,18470214.89
22,2005-02-02,6169387.76,4622145.02,24605.4,2.6025,1525.1,1193.19,1547242.7400000002
23,2005-02-03,8039403.17,4845814.66,24873.6,2.6018,1508.24,1189.89,3193588.51
24,2005-02-04,17208045.84,13270810.790000001,25731.9,2.613,1534.49,1203.03,3937235.049999999
25,2005-02-09,9582215.55,6922027.559999999,26313.5,2.6025,1506.81,1191.99,2660187.990000002
26,2005-02-10,23762611.74,14617644.110000001,26415.8,2.618,1506.83,1197.01,9144967.629999997
27,2005-02-11,26706439.61,21803212.299999997,26670.5,2.6045,1530.51,1205.3,4903227.310000002
28,2005-02-14,15076277.499999998,9523783.25,26531.9,2.579,1538.21,1206.14,5552494.249999998
29,2005-02-15,20084803.849999994,19015015.069999997,26610.1,2.5855,1547.3,1210.13,1069788.7799999975
30,2005-02-16,30750186.169999998,12070014.329999998,26384.1,2.578,1542.41,1210.34,18680171.84
31,2005-02-17,15061998.489999998,3585231.9099999997,27090.9,2.5665,1519.29,1200.75,11476766.579999998
32,2005-02-18,15998221.609999996,25351516.729999993,26756.3,2.5757,1515.4,1201.59,-9353295.119999997
33,2005-02-21,19945201.58,21555341.959999997,26853.1,2.5845,,,-1610140.379999999
34,2005-02-22,99028395.26999998,22759640.73,26740.1,2.6005,1494.07,1184.16,76268754.53999998
35,2005-02-23,18164785.53,14076784.839999998,27198.5,2.5945,1497.09,1190.8,4088000.690000003
36,2005-02-24,25185827.73,12613605.839999998,28436.2,2.6359,1517.71,1200.2,12572221.890000002
37,2005-02-25,29427389.12,21342004.55,28425.0,2.6183,1526.9,1211.37,8085384.57
38,2005-02-28,23844799.649999995,15430857.569999998,28139.1,2.5875,1511.02,1203.6,8413942.079999996
39,2005-03-01,27239021.559999995,26757696.370000005,27730.0,2.6275,1527.25,1210.41,481325.18999999017
40,2005-03-02,32364911.24,61563034.14999998,28199.7,2.639,1525.28,1210.08,-29198122.909999985
41,2005-03-03,113145314.97000006,73631855.89,28668.4,2.681,1511.89,1210.47,39513459.08000006
42,2005-03-04,35033608.919999994,7340632.6400000015,29197.2,2.656,1520.58,1222.13,27692976.279999994
43,2005-03-07,20494602.87,8255805.209999998,29455.4,2.6823,1545.2,1225.31,12238797.660000004
44,2005-03-08,18321325.3,27939051.759999998,29021.2,2.697,1528.65,1219.43,-9617726.459999997
45,2005-03-09,16045049.32,69013146.11999999,28514.5,2.717,1521.98,1207.01,-52968096.79999999
46,2005-03-10,29733445.13,43695077.46000001,28567.5,2.713,1524.38,1209.25,-13961632.33000001
47,2005-03-11,23768940.869999997,22379754.15,28074.9,2.7168,1505.64,1200.08,1389186.7199999988
48,2005-03-14,26392721.259999994,17225392.020000003,28098.9,2.7425,1515.09,1206.83,9167329.23999999
49,2005-03-15,28836760.749999993,36356486.65,27587.7,2.764,1502.06,1197.75,-7519725.900000006
50,2005-03-16,40716627.71999999,80595537.32999998,27826.7,2.7623,1486.23,1188.07,-39878909.60999999
51,2005-03-17,35766520.17,13629855.23,28085.8,2.7208,1487.63,1190.21,22136664.94
52,2005-03-18,22992819.48999999,16531541.21,27593.3,2.7145,1484.4,1189.65,6461278.27999999
53,2005-03-21,34745711.95999999,22677514.029999997,27411.3,2.725,1484.45,1183.79,12068197.929999996
54,2005-03-22,28142331.830000006,22947917.37,26618.1,2.7406,1465.09,1171.71,5194414.460000005
55,2005-03-23,32749549.85,16370066.839999998,26248.3,2.7489,1471.77,1172.53,16379483.010000004
56,2005-03-24,46366503.41000001,39236296.28000001,26701.9,2.7395,1469.94,1171.42,7130207.130000003
57,2005-03-28,35578389.17,29496692.490000006,26257.3,2.7255,1472.71,1174.28,6081696.679999996
58,2005-03-29,21262079.18,29910003.779999997,25842.1,2.7,1464.34,1165.36,-8647924.599999998
59,2005-03-30,33995071.04,47958787.960000016,26469.8,2.6755,1491.74,1181.41,-13963716.920000017
60,2005-03-31,88007162.05000003,29475479.16,26610.7,2.679,1482.53,1180.59,58531682.89000003
